season,event_code,event_name,team_count,match_count,team_number,adv_rank,qual_rank,qual_points,alliance_selection_points,award_points,playoff_points,total_points
2025,USMIFRQ,Fruitport Qualifier,37,57,24259,29,25,8,0,0,0,8
2025,USMIFRQ,Fruitport Qualifier,37,57,28481,30,30,7,0,0,0,7
2025,USMIFRQ,Fruitport Qualifier,37,57,31969,31,28,7,0,0,0,7
2025,USMIFRQ,Fruitport Qualifier,37,57,32661,32,29,7,0,0,0,7
2025,USMIFRQ,Fruitport Qualifier,37,57,8932,33,33,6,0,0,0,6
2025,USMIFRQ,Fruitport Qualifier,37,57,26558,34,32,6,0,0,0,6
2025,USMIFRQ,Fruitport Qualifier,37,57,32022,35,31,6,0,0,0,6
2025,USMIFRQ,Fruitport Qualifier,37,57,8529,36,34,5,0,0,0,5
2025,USMIFRQ,Fruitport Qualifier,37,57,25096,37,35,5,0,0,0,5
2025,USMIGRQ,Grand Rapids Qualifier,37,57,15815,1,1,16,20,60,5,101
2025,USMIGRQ,Grand Rapids Qualifier,37,57,10104,2,3,15,19,12,40,86
2025,USMIGRQ,Grand Rapids Qualifier,37,57,20935,3,2,15,19,12,40,86
2025,USMIGRQ,Grand Rapids Qualifier,37,57,9087,4,7,13,16,30,10,69
2025,USMIGRQ,Grand Rapids Qualifier,37,57,5385,5,8,13,18,12,20,63
2025,USMIGRQ,Grand Rapids Qualifier,37,57,18975,6,4,14,18,0,20,52
2025,USMIGRQ,Grand Rapids Qualifier,37,57,24052,7,5,14,20,6,5,45
2025,USMIGRQ,Grand Rapids Qualifier,37,57,24371,8,9,12,15,15,0,42
2025,USMIGRQ,Grand Rapids Qualifier,37,57,23411,9,28,7,16,6,10,39
2025,USMIGRQ,Grand Rapids Qualifier,37,57,5980,10,13,11,17,6,0,34
2025,USMIGRQ,Grand Rapids Qualifier,37,57,24548,11,6,13,17,0,0,30
2025,USMIGRQ,Grand Rapids Qualifier,37,57,21789,12,11,12,15,0,0,27
2025,USMIGRQ,Grand Rapids Qualifier,37,57,11999,13,16,10,0,12,0,22
2025,USMIGRQ,Grand Rapids Qualifier,37,57,12845,14,25,8,0,12,0,20
2025,USMIGRQ,Grand Rapids Qualifier,37,57,16464,15,24,8,0,12,0,20
2025,USMIGRQ,Grand Rapids Qualifier,37,57,31908,16,29,7,0,12,0,19
2025,USMIGRQ,Grand Rapids Qualifier,37,57,23597,17,34,5,0,12,0,17
2025,USMIGRQ,Grand Rapids Qualifier,37,57,15510,18,15,11,0,6,0,17
2025,USMIGRQ,Grand Rapids Qualifier,37,57,20142,19,17,10,0,6,0,16
2025,USMIGRQ,Grand Rapids Qualifier,37,57,32490,20,33,6,0,6,0,12
2025,USMIGRQ,Grand Rapids Qualifier,37,57,23106,21,10,12,0,0,0,12
2025,USMIGRQ,Grand Rapids Qualifier,37,57,20299,22,35,5,0,6,0,11
2025,USMIGRQ,Grand Rapids Qualifier,37,57,9133,23,12,11,0,0,0,11
2025,USMIGRQ,Grand Rapids Qualifier,37,57,13106,24,14,11,0,0,0,11
2025,USMIGRQ,Grand Rapids Qualifier,37,57,24049,25,19,10,0,0,0,10
2025,USMIGRQ,Grand Rapids Qualifier,37,57,30309,26,18,10,0,0,0,10
2025,USMIGRQ,Grand Rapids Qualifier,37,57,9476,27,22,9,0,0,0,9
2025,USMIGRQ,Grand Rapids Qualifier,37,57,23410,28,23,9,0,0,0,9
2025,USMIGRQ,Grand Rapids Qualifier,37,57,24050,29,20,9,0,0,0,9
2025,USMIGRQ,Grand Rapids Qualifier,37,57,31459,30,21,9,0,0,0,9
2025,USMIGRQ,Grand Rapids Qualifier,37,57,22368,31,27,8,0,0,0,8
2025,USMIGRQ,Grand Rapids Qualifier,37,57,30793,32,26,8,0,0,0,8
2025,USMIGRQ,Grand Rapids Qualifier,37,57,30388,33,30,7,0,0,0,7
2025,USMIGRQ,Grand Rapids Qualifier,37,57,21353,34,31,6,0,0,0,6
2025,USMIGRQ,Grand Rapids Qualifier,37,57,31577,35,32,6,0,0,0,6
2025,USMIGRQ,Grand Rapids Qualifier,37,57,7772,36,37,4,0,0,0,4
2025,USMIGRQ,Grand Rapids Qualifier,37,57,23599,37,36,4,0,0,0,4
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,5663,1,2,15,20,60,40,135
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,7140,2,1,16,20,30,40,106
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,13284,3,3,14,19,12,20,65
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,19679,4,12,10,19,6,20,55
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,10723,5,8,12,16,15,10,53
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,32759,6,7,12,16,12,10,50
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,16957,7,6,12,17,12,5,46
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,17768,8,10,11,17,6,5,39
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,23588,9,4,14,18,6,0,38
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,13598,10,5,13,18,6,0,37
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,20248,11,9,11,15,0,0,26
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,20246,12,11,10,15,0,0,25
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,13533,13,14,9,0,12,0,21
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,17770,14,15,9,0,12,0,21
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,13570,15,17,8,0,12,0,20
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,15270,16,20,7,0,12,0,19
